LeftFrontalHipJoint,LeftTransverseHipJoint,LeftSagittalHipJoint,LeftSagittalKneeJoint,LeftSagittalAnkleJoint,LeftHenkeAnkleJoint,RightFrontalHipJoint,RightTransverseHipJoint,RightSagittalHipJoint,RightSagittalKneeJoint,RightSagittalAnkleJoint,RightHenkeAnkleJoint,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r_translation2,knee_angle_r_translation1,knee_angle_r,knee_angle_r_rotation2,knee_angle_r_rotation3,ankle_angle_r,subtalar_angle_r,mtp_angle_r,knee_angle_r_beta_translation2,knee_angle_r_beta_translation1,knee_angle_r_beta_rotation1,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l_translation2,knee_angle_l_translation1,knee_angle_l,knee_angle_l_rotation2,knee_angle_l_rotation3,ankle_angle_l,subtalar_angle_l,mtp_angle_l,knee_angle_l_beta_translation2,knee_angle_l_beta_translation1,knee_angle_l_beta_rotation1
-2.687985433946042465e-05,-1.476585032562706423e-04,7.766289615058112681e-05,-1.487237986261494705e-04,3.461823890032063289e-04,-4.560577203296417744e-05,1.729191800643748307e-05,5.775785118729322566e-05,3.444723431039116196e-05,-4.837747446410147904e-05,2.157162271403484605e-04,7.327396499230270097e-05,5.294766174030910111e-05,-5.065031864273599442e-05,9.059686015883198330e-06,-1.863932304399976510e-07,1.546284485015494473e-07,-5.593693631154472332e-05,-4.434193013943837591e-06,-2.063964055577601387e-05,-3.499670631255287490e-04,2.118505584150725369e-04,-3.339934748009709792e-06,-1.037205077118266479e-05,6.421740379356862167e-05,1.131810218668323053e-05,1.071915043497381179e-04,-9.311571223789534904e-05,1.016828568518375805e-05,-1.696973566854066020e-07,6.652656784405420670e-07,-2.381968730797216660e-05,-1.863396995053236896e-06,8.801019364232220475e-06,-4.889401730908318061e-04,3.937346060786325072e-04,-5.294512093765301483e-06,-1.193551702116144377e-05,6.373328471457768703e-05,1.211462613806166968e-05
-1.066719403850717695e-04,-6.030156256963668283e-04,2.242759138067309036e-04,-3.968441449963623939e-04,1.132604428002455905e-03,-1.233637959700481783e-04,6.850226877196047357e-05,2.243287081906153739e-04,1.094060187563875860e-04,-1.259989230725227648e-04,7.873249641241631541e-04,2.860204334245658800e-04,2.283594219451511010e-04,-1.991911189868185916e-04,3.711748762651399374e-05,-3.362872601537055259e-07,7.750282366009348623e-07,-1.515423961228894070e-04,-1.202426040449958951e-05,-5.591373108628836896e-05,-1.305455040182735898e-03,8.227202246275395342e-04,-1.256475072014100169e-05,-4.329497374412434374e-05,2.475240263058520250e-04,4.540140011565827171e-05,4.453283554835030288e-04,-3.701325100881823179e-04,3.679816633328320891e-05,-1.222452866208368687e-06,2.961971718986119017e-06,-4.207758335245786861e-06,-2.354919043004962385e-07,1.584542629477090865e-06,-1.822382551615628387e-03,1.552587626990556934e-03,-1.997480706682540710e-05,-5.046999433609330175e-05,2.453046330756044799e-04,4.906040360658366176e-05
-2.361804478163003775e-04,-1.354493175712741899e-03,4.027548300227756220e-04,-6.644935850797346021e-04,2.227732809707628700e-03,-2.007764952972747145e-04,1.514355358603626772e-04,4.913334816178485144e-04,2.124623081728002801e-04,-2.084362403858673477e-04,1.657441396088453001e-03,6.204631169625531668e-04,5.235271864125519295e-04,-4.377731905203112494e-04,8.306722347842945635e-05,-3.186426842353778516e-07,1.860522557650898231e-06,-2.579608327352165610e-04,-2.048384461312528572e-05,-9.517465484886344256e-05,-2.784029715248240774e-03,1.790221507413357685e-03,-2.659329919935097164e-05,-9.775359874835757288e-05,5.377778991870809386e-04,1.006134811524992117e-04,1.009652145203837658e-03,-8.189053802145247751e-04,7.802625593471688883e-05,-3.348077991487851239e-06,6.857860123863690164e-06,1.035484693064828951e-04,8.420709118130809785e-06,-3.816211684972021232e-05,-3.874363916225208575e-03,3.407300183785805410e-03,-4.235718976575661047e-05,-1.153630793875277201e-04,5.323342747108228586e-04,1.095907567444429602e-04
-4.119848814183726471e-04,-2.383355314959700877e-03,6.036018505409670261e-04,-9.364896280155366945e-04,3.576634897555429262e-03,-2.623181552248843697e-04,2.637301536927357274e-04,8.512664864169438780e-04,3.404325396857287738e-04,-2.943411771656498734e-04,2.788297137979550439e-03,1.058197719592050313e-03,9.283171399101908640e-04,-7.582944304420853642e-04,1.452772894048797521e-04,-1.425973281150303449e-07,3.347771085401217046e-06,-3.699828410528476831e-04,-2.939682773807013427e-05,-1.365004077372897434e-04,-4.724934984827481796e-03,3.073535669978069620e-03,-4.446697824434879792e-05,-1.717598676076646466e-04,9.240526491795254252e-04,1.749065506784651576e-04,1.787885713337598317e-03,-1.425851851837050448e-03,1.331607599560157115e-04,-6.559176550766233290e-06,1.220162150396097917e-05,3.167565178196900819e-04,2.546792771896747224e-05,-1.168330412007610351e-04,-6.548051802590119409e-03,5.884566240623611243e-03,-7.093899213747856790e-05,-2.052178315000168678e-04,9.137136794641722345e-04,1.919248005587863640e-04
-6.309950543384982994e-04,-3.671888996486372039e-03,8.204750210482170776e-04,-1.204815165253296429e-03,5.136187709346414464e-03,-2.948702621141100670e-04,4.032444037571658612e-04,1.297299341636896529e-03,4.903009586550992512e-04,-3.823624686003771660e-04,4.144969491005521915e-03,1.582220797520065463e-03,1.433346459601574953e-03,-1.153347246654408799e-03,2.222799625306626540e-04,1.844740540673098160e-07,5.181910362312405650e-06,-4.829238069925605148e-04,-3.838906620232879679e-05,-1.781623557468981324e-04,-7.072450467112279503e-03,4.635805939161159218e-03,-6.533286917390722219e-05,-2.634663897257730984e-04,1.396233952146371709e-03,2.663833070298044403e-04,2.768176851449601159e-03,-2.178417821337620946e-03,2.015732494181654859e-04,-1.085684418785122942e-05,1.885542864347726131e-05,6.492214542947923875e-04,5.199068606779255145e-05,-2.395218542369254174e-04,-9.757314305876563232e-03,8.917588547455725448e-03,-1.043894237045942707e-04,-3.186322508165437034e-04,1.379189730585967440e-03,2.943070012202102389e-04
-8.904322629498530014e-04,-5.203504714469760553e-03,1.049662031408155408e-03,-1.467351266350808581e-03,6.873419972502499940e-03,-2.874609381301181468e-04,5.680334917182053387e-04,1.823296852231051863e-03,6.592040240098896026e-04,-4.711520347414391817e-04,5.695091769178489347e-03,2.176745707731032094e-03,2.029873980070493258e-03,-1.616172001163630745e-03,3.127304507028962240e-04,6.556639621208641455e-07,7.315356349320338786e-06,-5.927708428052781003e-04,-4.713992864510681377e-05,-2.186795130499209316e-04,-9.775662851027433486e-03,6.443778650401191938e-03,-8.843615246531377598e-05,-3.711484090484333271e-04,1.944969107131699080e-03,3.732825327787074447e-04,3.939222795547110863e-03,-3.065082527898092650e-03,2.826492442121684425e-04,-1.623379001482183615e-05,2.669503326751152222e-05,1.111844373722320305e-03,8.884226313458298493e-05,-4.102403366685066876e-04,-1.342566752752438058e-02,1.244573392975489509e-02,-1.415378200480116571e-04,-4.542174573342214693e-04,1.919302613527928449e-03,4.149924959472344930e-04
-1.187860535159232251e-03,-6.963335456559883833e-03,1.288039509020008806e-03,-1.723060322302640739e-03,8.760116167397193412e-03,-2.301852747667472974e-04,7.563287877745609837e-04,2.423854567809781858e-03,8.444138609310182291e-04,-5.593813871395717733e-04,7.408533995893817198e-03,2.826981202710642654e-03,2.709649402962763590e-03,-2.140615879194150001e-03,4.153654367353726978e-04,1.262514435236557391e-06,9.706451154808125968e-06,-6.964605349174852892e-04,-5.540418891379515689e-05,-2.569211690755318568e-04,-1.278837840999983225e-02,8.467515601907872613e-03,-1.131130542036470904e-04,-4.931800673203323238e-04,2.561621780302745632e-03,4.939614527716239137e-04,5.290909087378509700e-03,-4.075541028322476542e-03,3.756988335642773833e-04,-2.268747586334477994e-05,3.561831005365223731e-05,1.714671702479201188e-03,1.368066498621229405e-04,-6.326725923545967190e-04,-1.748436650698772729e-02,1.641500874097651802e-02,-1.813638169629307954e-04,-6.106872888476585224e-04,2.525305064476179862e-03,5.522667631342654572e-04
-1.521189243354627296e-03,-8.938273202447107740e-03,1.532728281497772920e-03,-1.971158603629016761e-03,1.077205346798314894e-02,-1.141743497189588377e-04,9.665224627671901688e-04,3.094259179424966883e-03,1.043376748686246618e-03,-6.458527756146541362e-04,9.257382637127161557e-03,3.519094558198731983e-03,3.464836127410613528e-03,-2.721093114423611160e-03,5.289895286608471952e-04,1.993953234975714050e-06,1.231819415758365308e-05,-7.919838491705730611e-04,-6.302032372458322160e-05,-2.921457234580931311e-04,-1.606897096724564655e-02,1.068011249787894495e-02,-1.387841293086620358e-04,-6.280197046004209289e-04,3.238227178888087709e-03,6.268828454242486668e-04,6.814364052829972873e-03,-5.200734250538415794e-03,4.799576983332352453e-04,-3.022062575262746443e-05,4.554422250853802602e-05,2.467093057197010646e-03,1.966136291730861041e-04,-9.102453858460014813e-04,-2.187207643553206599e-02,2.077792878969815862e-02,-2.229891757446665298e-04,-7.868582113669535423e-04,3.189112466148637942e-03,7.044197461438545665e-04
-1.888688525109699125e-03,-1.111687533579129930e-02,1.781098645298542955e-03,-2.211081792575619875e-03,1.288950462060117243e-02,6.807635550991365250e-05,1.197160631930754100e-03,3.830327490840164644e-03,1.253804909057180516e-03,-7.296729365327023036e-04,1.121631293365423637e-02,4.240461907609269915e-03,4.288077933269503726e-03,-3.352548506461031867e-03,6.525039411596744157e-04,2.837248816458593979e-06,1.511736898813665356e-05,-8.781332042826370471e-04,-6.989059320193957876e-05,-3.239073742913759022e-04,-1.958004519683669356e-02,1.305740583375695520e-02,-1.649479580209599848e-04,-7.742131670291459893e-04,3.967444714928502342e-03,7.706121483673666244e-04,8.501877924694105707e-03,-6.432883302738787515e-03,5.946421535344887689e-04,-3.883778804704789270e-05,5.640929156983847184e-05,3.377421201378464060e-03,2.689049266226118512e-04,-1.245970584444180008e-03,-2.653531507704842696e-02,2.549347360577128296e-02,-2.656739019362399029e-04,-9.816196944607796619e-04,3.903265147633489147e-03,8.697078749695442458e-04
-2.289047541516725775e-03,-1.348923068449255948e-02,2.030807776072585027e-03,-2.442443487395127167e-03,1.509858700650681951e-02,3.219992356909062497e-04,1.446942787138464108e-03,4.628272706815228857e-03,1.473693559000354564e-03,-8.102446331260220987e-04,1.326279535289559205e-02,4.979893547460018284e-03,5.172579426528511361e-03,-4.030437714113699159e-03,7.849384525096864042e-04,3.779104643866367704e-06,1.807399829897069854e-05,-9.542443697906978798e-04,-7.596068522590979750e-05,-3.519608632787766004e-04,-2.328815749681939148e-02,1.557777565238389547e-02,-1.911758628274922323e-04,-9.303979240341618117e-04,4.742513284326188745e-03,9.238155207218014297e-04,1.034677511938950252e-02,-7.765608979860313781e-03,7.190939412348619367e-04,-4.853826600307268598e-05,6.816209929114213728e-05,4.451863299548639713e-03,3.541523756523809398e-04,-1.642064079751867807e-03,-3.142998502732487903e-02,3.052748801762542041e-02,-3.088192304695264916e-04,-1.193875519137554833e-03,4.660902777744658360e-03,1.046311869575709255e-03
