LeftFrontalHipJoint,LeftTransverseHipJoint,LeftSagittalHipJoint,LeftSagittalKneeJoint,LeftSagittalAnkleJoint,LeftHenkeAnkleJoint,RightFrontalHipJoint,RightTransverseHipJoint,RightSagittalHipJoint,RightSagittalKneeJoint,RightSagittalAnkleJoint,RightHenkeAnkleJoint,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r_translation2,knee_angle_r_translation1,knee_angle_r,knee_angle_r_rotation2,knee_angle_r_rotation3,ankle_angle_r,subtalar_angle_r,mtp_angle_r,knee_angle_r_beta_translation2,knee_angle_r_beta_translation1,knee_angle_r_beta_rotation1,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l_translation2,knee_angle_l_translation1,knee_angle_l,knee_angle_l_rotation2,knee_angle_l_rotation3,ankle_angle_l,subtalar_angle_l,mtp_angle_l,knee_angle_l_beta_translation2,knee_angle_l_beta_translation1,knee_angle_l_beta_rotation1
-5.368316185231183230e-02,-3.005268575894337602e-01,1.274972818401199359e-01,-2.333157895972594598e-01,6.127359331604863568e-01,-7.260059132245950952e-02,3.450131530114523837e-02,1.136850857248602603e-01,5.980336539928764877e-02,-7.476474849970619896e-02,4.089913119837120248e-01,1.453745678382042661e-01,1.119484325769624783e-01,-1.006348773398021007e-01,1.851738627333052167e-02,-2.373582158362632635e-04,3.643778162168577039e-04,-8.835017812013370997e-02,-7.007581052086504954e-03,-3.259862821671852956e-02,-6.723675256832836178e-01,4.178689666407960357e-01,-6.475290882504361988e-03,-2.145389600147624976e-02,1.259765142764115442e-01,2.279593025675429388e-02,2.205698006053752602e-01,-1.862602374439064068e-01,1.910425469566099863e-02,-5.179248806666885644e-04,1.438334569165790984e-03,-1.857217610718623485e-02,-1.422592112291834335e-03,6.872125781423183734e-03,-9.396163554328825773e-01,7.843563346880702003e-01,-1.028256647395528120e-02,-2.485144620849631322e-02,1.249251447506575241e-01,2.452848163583961141e-02
-1.052535563659677542e-01,-6.066804471082920536e-01,1.642315132147289802e-01,-2.606364812462578784e-01,9.505128420889622509e-01,-8.027961711905773345e-02,6.748480139326913652e-02,2.180941782177744093e-01,8.955276289205434115e-02,-8.025360846514420499e-02,7.274069742070731204e-01,2.767867536777056658e-01,2.370457236323891548e-01,-1.949716447409285125e-01,3.729140309478985726e-02,-6.440353350503887964e-05,8.642587977359478474e-04,-1.019182584610925368e-01,-8.097233286950103123e-03,-3.760186687281417972e-02,-1.227588085143839880e+00,7.963353100612842184e-01,-1.179555923055477205e-02,-4.403457690145415326e-02,2.386711315965040492e-01,4.500211615493594081e-02,4.533686005063578550e-01,-3.652629878265556407e-01,3.404512956688848097e-02,-1.587261755735979623e-03,3.123647128048524704e-03,6.066551926681829771e-02,4.904298812769361873e-03,-2.236594787590047775e-02,-1.709657018312172205e+00,1.519642725308590459e+00,-1.879660704086738576e-02,-5.195435379464649617e-02,2.362230874495405974e-01,4.904225552162537471e-02
-1.531955925593464218e-01,-8.931793207228624354e-01,1.910574514478657893e-01,-2.719303996207385610e-01,1.230365080109336429e+00,-7.190701478062239138e-02,9.798821600316558189e-02,3.146636425022982797e-01,1.160291754116401647e-01,-8.439611996375881442e-02,1.006531403262339142e+00,3.890317315434591583e-01,3.516012110578872196e-01,-2.808419695749661549e-01,5.433648264790250787e-02,9.817777279917631471e-05,1.296173059654770129e-03,-1.100488120373174228e-01,-8.752458196666257351e-03,-4.059906741738589231e-02,-1.719434191413152124e+00,1.131864210580119323e+00,-1.610172641110786673e-02,-6.455139602464191051e-02,3.400154779755432122e-01,6.508077727338870688e-02,6.732615562937601661e-01,-5.300270738035406382e-01,4.829258265539004141e-02,-2.666681226083403907e-03,4.643372952788482437e-03,1.578182005816626821e-01,1.264210418469204934e-02,-5.822509252009995528e-02,-2.378104718217608493e+00,2.177602179595389487e+00,-2.571763825242030788e-02,-7.760321209571344192e-02,3.359834268236492338e-01,7.172399523918106257e-02
-1.978977606499064956e-01,-1.161586091814100330e+00,2.095977381333618550e-01,-2.707690265644284722e-01,1.460298834133475721e+00,-4.899835743089063500e-02,1.262441086953407510e-01,4.040635792874969212e-01,1.394086274549312110e-01,-8.718831620921060899e-02,1.249359862450994729e+00,4.836040282945150426e-01,4.564154603742752725e-01,-3.589657043100275557e-01,6.983928152844687265e-02,2.526952803039059464e-04,1.669181863320418025e-03,-1.132123328702315523e-01,-9.010984382454999622e-03,-4.176355570400956674e-02,-2.153087806051145581e+00,1.428620872960139732e+00,-1.950343925911134785e-02,-8.315333584230590047e-02,4.308482223993970184e-01,8.318919432975960260e-02,8.812236031077853582e-01,-6.817707266842808478e-01,6.187229722438458007e-02,-3.755566731066906777e-03,6.021059629043023012e-03,2.708808489480854509e-01,2.163167103205446834e-02,-9.995910965030165019e-02,-2.954928746045875521e+00,2.765785868807441261e+00,-3.122408715018185760e-02,-1.018717443221353741e-01,4.250667560408403767e-01,9.265123158926145963e-02
-2.396582808871229875e-01,-1.412702199044871154e+00,2.235710808270287564e-01,-2.656262763443061337e-01,1.653415189282182896e+00,-1.429814281491189644e-02,1.524602887952205554e-01,4.869786341742446401e-01,1.598509702813440125e-01,-8.862929454875538571e-02,1.458591269006153546e+00,5.618120723963276886e-01,5.521874504636232750e-01,-4.300130946765713391e-01,8.394220318147521676e-02,4.003170316188858638e-04,1.991171102007021666e-03,-1.119970962921747332e-01,-8.919762159364111667e-03,-4.131214646101422777e-02,-2.533454387796675977e+00,1.690376407134517978e+00,-2.210250439541072004e-02,-9.997241940073323119e-02,5.119555002647240283e-01,9.947087856543758433e-02,1.077460475104197846e+00,-8.214357403286582926e-01,7.485166274207127879e-02,-4.838271475787425842e-03,7.265608013072720646e-03,3.958255352221703438e-01,3.155286590824862153e-02,-1.460722828555265085e-01,-3.450875756594949273e+00,3.290131335578925231e+00,-3.548157106398780458e-02,-1.247236394073598376e-01,5.043092788185271624e-01,1.118216155926340244e-01
-2.788098487037011797e-01,-1.648051021827754870e+00,2.342822006541509239e-01,-2.592730239329292807e-01,1.816340482926039224e+00,3.077113657365155436e-02,1.768230979419165017e-01,5.641151919999487507e-01,1.775003810155266204e-01,-8.872800527384978875e-02,1.636630938026753856e+00,6.247723656752860455e-01,6.394930681739399159e-01,-4.946106960623358750e-01,9.674826729277412329e-02,5.406656638890234689e-04,2.268782635291008171e-03,-1.071842314382164957e-01,-8.540918877834322367e-03,-3.953291163907338146e-02,-2.865268978515738585e+00,1.920578226795084165e+00,-2.399340542806247326e-02,-1.151207401520160656e-01,5.840753464391169603e-01,1.140538406216813211e-01,1.262945509241430120e+00,-9.501749563696222367e-01,8.718479761090144886e-02,-5.915214400920873992e-03,8.396578847940126128e-03,5.310977496522253372e-01,4.228120113796259016e-02,-1.959798544899227779e-01,-3.874366024817316845e+00,3.757156059248771829e+00,-3.864507305247968233e-02,-1.462325547783828172e-01,5.744585283708649737e-01,1.292639335489814134e-01
-3.156977291531185559e-01,-1.869425864570930962e+00,2.419926054504711599e-01,-2.520145815906081332e-01,1.953004014582057524e+00,8.526388416657865177e-02,1.994994027255934943e-01,6.362170605029681125e-01,1.924914138735309699e-01,-8.752685406583413097e-02,1.785590390254357285e+00,6.733869105759521245e-01,7.187497605877700702e-01,-5.533459972647823966e-01,1.083216950429160830e-01,6.711691158972988083e-04,2.507243994371087786e-03,-9.986440098472035287e-02,-7.961001812672934691e-03,-3.682830853061570126e-02,-3.153225715955274122e+00,2.122411964762011216e+00,-2.526380280259813912e-02,-1.286854260433796526e-01,6.479025564377542956e-01,1.270476930206791699e-01,1.438948704230383013e+00,-1.069230613048888001e+00,9.878595298088385657e-02,-6.992649971104281277e-03,9.436479433311663681e-03,6.761283197067529116e-01,5.376972187959403598e-02,-2.494582034953415350e-01,-4.232796661046374531e+00,4.173473012800032578e+00,-4.086042507253841161e-02,-1.665101619097449914e-01,6.361988058954026748e-01,1.449999544578823851e-01
-3.506703638788538080e-01,-2.078543288089327756e+00,2.469460317936190419e-01,-2.440881729956484170e-01,2.067562281475963548e+00,1.480186697451354727e-01,2.206454423254131658e-01,7.038961961535633582e-01,2.050530687114331951e-01,-8.526796727735115600e-02,1.907881863105794551e+00,7.087317192582615055e-01,7.903958970284852281e-01,-6.067655566178141724e-01,1.187427463859092869e-01,7.895666395419019762e-04,2.710702336418133965e-03,-9.098447518630332909e-02,-7.255254079296922370e-03,-3.354779577687818509e-02,-3.401727309154312096e+00,2.298753283105515521e+00,-2.599475425779114099e-02,-1.407513109973320409e-01,7.040848249753552945e-01,1.385559067194493399e-01,1.606677206274565117e+00,-1.179856881413165137e+00,1.095990545373430464e-01,-8.074490760367692560e-03,1.040480379609950122e-02,8.301134849333693388e-01,6.595227435117609338e-02,-3.061944089716923667e-01,-4.533684780487493349e+00,4.545519359290318029e+00,-4.226678505987559176e-02,-1.856472529013269701e-01,6.901724791429877381e-01,1.590158328531094956e-01
-3.841075172648487079e-01,-2.277011268248636089e+00,2.494026547271270544e-01,-2.356943282914982229e-01,2.164981106338891070e+00,2.174091908632410086e-01,2.404138858190505712e-01,7.676105959010685043e-01,2.154690378485075719e-01,-8.227364867188757813e-02,2.006218826687745427e+00,7.321334820053966297e-01,8.549536373709388792e-01,-6.553873367528745275e-01,1.281236234770199711e-01,8.947959589103641857e-04,2.882651341584024484e-03,-8.120582567651447869e-02,-6.476413025420099494e-03,-2.993547702812122957e-02,-3.614846146667933358e+00,2.452228136302140982e+00,-2.626140908920310962e-02,-1.514084064807097729e-01,7.532233958926022321e-01,1.486803298678953666e-01,1.767240430258619321e+00,-1.283373211663449531e+00,1.196553257066772097e-01,-9.159909474136300467e-03,1.131687313410589986e-02,9.916086669814303534e-01,7.871143609648029171e-02,-3.656368405523778842e-01,-4.785388263110692542e+00,4.879855429133811207e+00,-4.300255113271829466e-02,-2.036945295604307427e-01,7.369889819648449691e-01,1.712576861035878806e-01
-4.164838454176362226e-01,-2.466269387624408616e+00,2.496893534300383133e-01,-2.269850357563839294e-01,2.252321634068244371e+00,2.907664218750450891e-01,2.589662831505205043e-01,8.275966654276510903e-01,2.240372421067937936e-01,-7.879478266264113018e-02,2.083737313378460243e+00,7.453688145825920763e-01,9.131765129438351725e-01,-6.997202121866510360e-01,1.366449348308629574e-01,9.891381583854103390e-04,3.026640464369541664e-03,-7.054241246806650101e-02,-5.626117106378391262e-03,-2.599617477207393640e-02,-3.796139994127651907e+00,2.585272617631904524e+00,-2.613427220015095143e-02,-1.607700606235646923e-01,7.958702594337875302e-01,1.575319105181973434e-01,1.921578641613910454e+00,-1.381293033770089718e+00,1.292106823929739801e-01,-1.023778706307539033e-02,1.218059308180544260e-02,1.157607470332253863e+00,9.180597025372959352e-02,-4.266572744984084009e-01,-4.998742918402604651e+00,5.183817777006447081e+00,-4.321423021483325466e-02,-2.206183399650959998e-01,7.772417153663030431e-01,1.816272660113383841e-01
